SKU,Наличност,Бройки,Цена
956992,Наличен,5,35.80
956993,Наличен,8,35.80
956994,Наличен,15,35.80
956995,Наличен,6,35.80
951466,Наличен,18,16.20
952274,Наличен,3,16.20
951467,Изчерпан,0,16.20
951468,Наличен,10,16.20
930846,Наличен,6,16.20
923573,Наличен,12,16.20
930848,Наличен,14,16.20
923574,Наличен,4,16.20
923575,Наличен,6,16.20
924141,Наличен,12,16.20
924142,Наличен,4,16.20
923577,Наличен,17,16.20
923578,Наличен,9,16.20
926222,Наличен,19,16.20
949550,Наличен,1,16.20
949551,Наличен,2,16.20
949552,Наличен,10,16.20
930849,Наличен,9,16.20
941850,Наличен,14,16.20
924145,Наличен,15,16.20
924146,Наличен,4,16.20
926223,Наличен,12,16.20
923585,Наличен,8,16.20
930851,Изчерпан,0,16.20
924149,Изчерпан,0,16.20
924150,Наличен,5,16.20
928471,Наличен,13,16.20
923586,Наличен,9,16.20
936736,Наличен,1,16.20
934410,Наличен,6,16.20
923587,Наличен,20,16.20
924151,Наличен,12,16.20
936737,Наличен,12,16.20
924152,Наличен,10,16.20
939358,Наличен,3,16.20
936738,Наличен,4,16.20
954606,Наличен,12,16.20
923588,Наличен,15,16.20
936735,Наличен,14,16.20
926224,Наличен,2,18.50
949553,Наличен,5,18.50
949554,Наличен,13,18.50
949555,Наличен,6,18.50
930854,Наличен,13,18.50
923596,Наличен,12,18.50
924153,Наличен,16,18.50
926225,Наличен,6,18.50
923597,Наличен,12,18.50
930856,Наличен,2,18.50
924156,Наличен,9,18.50
928473,Наличен,5,18.50
923600,Наличен,2,18.50
936739,Наличен,10,18.50
954622,Наличен,3,18.50
936741,Наличен,13,18.50
936743,Наличен,12,18.50
955022,Наличен,11,18.50
936745,Наличен,2,18.50
926226,Наличен,11,19.00
936731,Наличен,2,19.00
936733,Наличен,12,20.00
924159,Наличен,6,20.50
949556,Наличен,5,20.50
926245,Наличен,10,16.20
939366,Изчерпан,0,16.20
941857,Наличен,17,16.20
924179,Наличен,6,16.20
923734,Наличен,5,16.20
924182,Наличен,7,16.20
924184,Наличен,7,16.20
936790,Наличен,12,16.20
923736,Наличен,9,16.20
